,Brand_Name,year,YoY_Growth (%)
191,spotify,2025,-64.01479273071136
192,starbucks,2022,13.793171213443609
193,starbucks,2023,-11.46772653939264
194,starbucks,2024,60.589198538988455
195,starbucks,2025,-78.00147175867806
196,target,2022,11.653756954091733
197,target,2023,-25.26749468465853
198,target,2024,20.3867113363731
199,target,2025,-77.1363234641412
200,tesla,2022,2.5828334006129663
201,tesla,2023,33.50864652832621
202,tesla,2024,-13.670924548497332
203,tesla,2025,-74.76493711471183
204,the coca-cola company,2022,18.7257913353747
205,the coca-cola company,2023,-13.746247892540294
206,the coca-cola company,2024,17.905922627321825
207,the coca-cola company,2025,-74.56219829521713
208,the home depot,2022,10.501778836238033
209,the home depot,2023,-13.459141514207396
210,the home depot,2024,21.75704566003443
211,the home depot,2025,-79.1197417673921
212,the walt disney company,2022,-19.846025342661374
213,the walt disney company,2023,-16.93528406719058
214,the walt disney company,2024,-0.14631163376706757
215,the walt disney company,2025,-83.4360726141962
216,toyota,2022,-9.502886187314433
217,toyota,2023,7.3288465155923275
218,toyota,2024,61.38554147468847
219,toyota,2025,-78.68321771998218
220,uber,2022,-20.861696554640435
221,uber,2023,20.396246905733374
222,uber,2024,40.27937470490748
223,uber,2025,-72.73662961595373
224,ubisoft,2022,-34.54269417065666
225,ubisoft,2023,-81.66408056866256
226,ubisoft,2024,54.114176848306506
227,ubisoft,2025,-63.47945182075596
228,unilever,2022,51.40611347419342
229,unilever,2023,-36.66028581609186
230,unilever,2024,58.55012884989724
231,unilever,2025,-80.12503257942224
232,visa,2022,-18.454213443170893
233,visa,2023,-8.937774062801955
234,visa,2024,50.458739820138675
235,visa,2025,-78.86566272546455
236,zoom video communications,2022,-64.79791785834439
237,zoom video communications,2023,-43.483745045762475
238,zoom video communications,2024,-6.2936877185986715
239,zoom video communications,2025,-81.14417547728544
240,zoominfo,2022,-5.5161572467667455
241,zoominfo,2023,-26.189741594460614
242,zoominfo,2024,-24.158823070173504
243,zoominfo,2025,-82.77913540119648
