,Brand_Name,Period,Fluctuation
130,apple,After_covid,0.13896275982525036
131,block,After_covid,0.04493249344167265
132,bmw group,After_covid,0.007082871602290109
133,chipotle,After_covid,0.020943295137924003
134,cisco,After_covid,0.06659155586997843
135,coinbase,After_covid,0.2555068223490653
136,colgate palmolive,After_covid,0.056027401342164
137,costco,After_covid,0.08965729700296599
138,crocs,After_covid,-0.12613031262160737
139,delta air lines,After_covid,0.02263961418931224
140,fedex,After_covid,0.06195055431757468
141,foot locker,After_covid,0.05959401505089978
142,google,After_covid,0.13818842743678925
143,hershey company,After_covid,0.0010100558855385038
144,hilton,After_covid,0.07429092631942813
145,honda,After_covid,-0.021744472406833717
146,johnson & johnson,After_covid,0.030625938169821863
147,jpmorgan chase & co,After_covid,0.08683565152117226
148,logitech,After_covid,0.11887323054998393
149,lvmh,After_covid,0.06826661304264758
150,marriott,After_covid,0.08286997023072384
151,mastercard,After_covid,0.05673650615467077
152,mcdonald's,After_covid,0.03882830528363563
153,microsoft,After_covid,0.03612798869651079
154,netflix,After_covid,0.029452492947972267
155,nike,After_covid,0.018893647809490786
156,nintendo,After_covid,0.034823911778437654
157,nordstrom,After_covid,0.09742332493600328
158,nvidia,After_covid,0.09183095345156868
159,peloton,After_covid,0.010265519634298004
160,philips,After_covid,0.08566792593069568
161,pinterest,After_covid,-0.025885376756584498
162,porsche,After_covid,0.06387850151881241
163,procter & gamble,After_covid,0.06725773509333406
164,puma,After_covid,-0.3276338118749398
165,roblox,After_covid,0.18089244479134237
166,salesforce / slack,After_covid,0.09173383506054218
167,shopify,After_covid,0.12536348731623104
168,southwest airlines,After_covid,0.05710705409132817
169,spotify,After_covid,0.16150005252474336
170,starbucks,After_covid,0.06334771110143288
171,target,After_covid,-0.06551047757343297
172,tesla,After_covid,0.13959217679498384
173,the coca-cola company,After_covid,0.02156534468970826
174,the home depot,After_covid,0.039396825960842013
175,the walt disney company,After_covid,0.07737440295886816
176,toyota,After_covid,-0.011973038092203212
177,uber,After_covid,0.13614724563002528
178,ubisoft,After_covid,0.24612958277891628
179,unilever,After_covid,0.0018676947549209854
180,visa,After_covid,0.08879185989603297
181,zoom video communications,After_covid,0.11115535426299267
182,zoominfo,After_covid,-0.02778884969065226
